pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
1,PJM-RTO,AGGREGATE,ZONE,,,9/8/2017 0:00,12/31/9999 0:00
3,MID-ATL/APS,AGGREGATE,ZONE,,,9/8/2017 0:00,12/31/9999 0:00
48592,ALDENE  230 KV  T-10,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48593,ALDENE  230 KV  T-20,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48594,ATHENIA 26 KV   AB GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 0:00,12/31/9999 0:00
48595,ATHENIA 26 KV   OU GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 0:00,12/31/9999 0:00
48596,ATHENIA 26 KV   IM GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 0:00,12/31/9999 0:00
48603,BELLEVIL230 KV  26KV,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48604,BELLEVIL230 KV  26KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48605,BENNETTS230 KV  13KV,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48606,BENNETTS230 KV  13KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48612,BRIDGEWA230 KV  26KV,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48613,BRIDGEWA230 KV  26KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48614,BRIDGEWA230 KV  13KV,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48615,BRIDGEWA230 KV  13KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48621,CLIF PS 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48622,CLIF PS 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48643,FOUNDRY 138 KV  T-1,BUS,LOAD,PSEG,138 KV,4/1/1998 0:00,12/31/9999 0:00
48644,FOUNDRY 138 KV  T-2,BUS,LOAD,PSEG,138 KV,4/1/1998 0:00,12/31/9999 0:00
48645,GREENBRO230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48646,GREENBRO230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48647,HAWTHORN230 KV  T-20,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48648,HILLSDAL230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48649,HILLSDAL230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48652,HOBOKEN 230 KV  T-1AB,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48653,HOBOKEN 230 KV  T-2AB,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48660,KILMER  230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48661,KILMER  230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48662,KILMER  230 KV  T-3,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48663,KILMER  230 KV  T-4,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48665,KINGSLAN230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48676,LEONIA  230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48677,LEONIA  230 KV  T-3,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48681,LAKENELS230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48682,LAKENELS230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48687,MINUEST 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48688,MINUEST 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48707,NEWP PS 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48708,NEWP PS 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48715,PENHORN 230 KV  T-1,BUS,LOAD,PSEG,230 KV,3/10/2021 0:00,12/31/9999 0:00
48716,PENHORN 230 KV  T-2,BUS,LOAD,PSEG,230 KV,3/10/2021 0:00,12/31/9999 0:00
48717,PIERSOAV230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48718,PIERSOAV230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48725,SEWAREN 26 KV   26KV,BUS,LOAD,PSEG,26 KV,4/1/1998 0:00,12/31/9999 0:00
48727,SOMERVIL230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48728,SOMERVIL230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48744,WALDWICK230 KV  T-10,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48745,WALDWICK230 KV  T-20,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48747,WARINANC230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48748,WARINANC230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48751,BEAVERBR230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48752,BEAVERBR230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48765,CLARKSVI230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48766,CLARKSVI230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48773,DEPTFORD230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48774,DEPTFORD230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48784,KUSERRD 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48785,KUSERRD 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48786,KUSERRD 230 KV  T-3,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48787,KUSERRD 230 KV  T-4,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48792,LAWRESUB230 KV  T-10,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48793,LAWRESUB230 KV  T-30,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48794,LAWRESUB230 KV  T-20,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48795,LAWRESUB230 KV  T-40,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48800,LUMBERTO230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48801,LUMBERTO230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48802,MARLTON 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48803,MARLTON 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48804,MARLTON 230 KV  T-3,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48805,MARLTON 230 KV  T-4,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48806,MERCER  230 KV  #1 SP,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48807,MERCER  230 KV  #2 SP,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48808,MTLAUREL230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48809,MTLAUREL230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48813,THOROFAR230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48814,THOROFAR230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 0:00,12/31/9999 0:00
48819,ANGORA  13 KV   1BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48820,ANGORA  13 KV   2BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48821,BALA    13 KV   LD1,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48822,BALA    13 KV   LD2,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48823,BARBADOS35 KV   ABU2,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48824,BARBADOS35 KV   ABU8,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48832,BRADFORD35 KV   KBUS,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48833,BRADFORD230 KV  CTVS1,BUS,LOAD,PECO,230 KV,6/24/1998 0:00,12/31/9999 0:00
48840,BUCKINGH35 KV   2 TR,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48841,BUCKINGH35 KV   3 TR,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48842,BUCKINGH35 KV   4 TR,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48843,BUCKINGH35 KV   5 TR,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48847,BYBERRY 13 KV   21BUS,BUS,LOAD,PECO,13 KV,6/24/1998 0:00,12/31/9999 0:00
48848,BYBERRY 13 KV   1BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48849,BYBERRY 13 KV   7BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48850,BYBERRY 13 KV   9BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48851,BYBERRY 35 KV   KBUS,BUS,LOAD,PECO,35 KV,4/1/1998 0:00,12/31/9999 0:00
48852,CALLOWHI13 KV   1BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48853,CALLOWHI13 KV   4BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48854,CALLOWHI13 KV   7BUS,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48855,CEDARBRO13 KV   NBU3,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48856,CEDARBRO13 KV   NBU1,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48857,CEDARBRO13 KV   NBU2,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48858,CEDARBRO13 KV   NBU4,BUS,LOAD,PECO,13 KV,4/1/1998 0:00,12/31/9999 0:00
48862,CHICHEST230 KV  DBU1,BUS,LOAD,PECO,230 KV,4/1/1998 0:00,12/31/9999 0:00
48863,CHICHEST230 KV  DBU2,BUS,LOAD,PECO,230 KV,4/1/1998 0:00,12/31/9999 0:00
